Date,return_1d,hl_range,Volume,news_count_1d,news_count_7d,sentiment_mean_1d,sentiment_mean_7d,sentiment_vol_7d,Close
2024-09-18,-0.07766991999228168,0.0842105463931435,59100,0.0,0.0,0.0,0.0,0.0,4.75
2024-09-19,0.4736842105263157,0.7342857633318219,7604600,1.0,0.0,-0.11243228614330292,0.0,0.0,7.0
2024-09-20,-0.09142855235508507,0.14842763325255343,421700,0.0,0.0,0.0,0.0,0.0,6.360000133514404
2024-09-23,-0.13050312991855462,0.13200723171379147,162000,0.0,0.0,0.0,0.0,0.0,5.53000020980835
2024-09-24,-0.11030743406346899,0.15650405873703285,174700,0.0,0.0,0.0,0.0,0.0,4.920000076293945
2024-09-25,0.5284552569745187,0.37499996036925204,3173500,0.0,1.0,0.0,-0.01606175516332899,0.042495409781376135,7.519999980926514
2024-09-26,-0.038563824812310354,0.29045641757849955,712500,0.0,0.0,0.0,0.0,0.0,7.230000019073486
2024-09-27,0.0207469011025887,0.12872625942189506,219400,0.0,0.0,0.0,0.0,0.0,7.380000114440918
2024-09-30,-0.09078591678920345,0.18137108803437207,126400,0.0,0.0,0.0,0.0,0.0,6.710000038146973
2024-10-01,-0.013412839355623207,0.18731114691151415,42000,0.0,0.0,0.0,0.0,0.0,6.619999885559082
2024-10-02,0.030211524102678133,0.12170086551535433,43500,0.0,0.0,0.0,0.0,0.0,6.820000171661377
2024-10-03,0.05278587208445029,0.42298053647635,5379200,2.0,2.0,0.8095917734317482,0.11565596763310688,0.30599692799773637,7.179999828338623
2024-10-04,-0.03760445506709553,0.17076698326998507,557800,0.0,2.0,0.0,0.11565596763310688,0.30599692799773637,6.909999847412109
2024-10-07,-0.007235848770160369,0.0830904024151037,276800,0.0,2.0,0.0,0.11565596763310688,0.30599692799773637,6.860000133514404
2024-10-08,0.0072885878898796275,0.1837916076658303,1136400,1.0,3.0,0.7258044220507145,0.2193423136403518,0.3753783746224196,6.909999847412109
2024-10-09,0.027496390942992166,0.057746525317803575,320600,0.0,3.0,0.0,0.2193423136403518,0.3753783746224196,7.099999904632568
2024-10-10,-0.005633797519761674,0.04532573617815555,165600,0.0,1.0,0.0,0.10368634600724493,0.27432828588816505,7.059999942779541
2024-10-11,-0.026912189626117078,0.07714704783655438,190000,0.0,1.0,0.0,0.10368634600724493,0.27432828588816505,6.869999885559082
2024-10-14,-0.011644821694133722,0.06332839922745358,93100,0.0,1.0,0.0,0.10368634600724493,0.27432828588816505,6.789999961853027
2024-10-15,-0.01620031430521318,0.0871257890031212,103400,0.0,0.0,0.0,0.0,0.0,6.679999828338623
2024-10-16,-0.09131731622049433,0.09555187929217257,162700,0.0,0.0,0.0,0.0,0.0,6.070000171661377
2024-10-17,-0.05436579756354287,0.12891982589295653,189800,0.0,0.0,0.0,0.0,0.0,5.739999771118164
2024-10-18,-0.08013929959098332,0.10984846603388813,275100,0.0,0.0,0.0,0.0,0.0,5.28000020980835
2024-10-21,0.024621142507204263,0.04436225099580524,74700,0.0,0.0,0.0,0.0,0.0,5.409999847412109
2024-10-22,-0.05175595949510614,0.07758289112032563,101500,0.0,0.0,0.0,0.0,0.0,5.130000114440918
2024-10-23,-0.025341152347144846,0.05,92500,0.0,0.0,0.0,0.0,0.0,5.0
2024-10-24,0.019999980926513672,0.04098041461459168,68600,0.0,0.0,0.0,0.0,0.0,5.099999904632568
2024-10-25,-0.003921564960883028,0.055118058499284556,88500,0.0,0.0,0.0,0.0,0.0,5.079999923706055
2024-10-28,-0.015748016714081325,0.08200006484985352,110100,0.0,0.0,0.0,0.0,0.0,5.0
2024-10-29,-0.007999992370605447,0.04838705025652108,107700,0.0,0.0,0.0,0.0,0.0,4.960000038146973
2024-10-30,-0.012096762564130281,0.028571400767513182,49200,0.0,0.0,0.0,0.0,0.0,4.900000095367432
2024-10-31,0.0,0.05510203585134164,46400,0.0,0.0,0.0,0.0,0.0,4.900000095367432
2024-11-01,-0.08163267093517013,0.10888894399007161,73800,0.0,0.0,0.0,0.0,0.0,4.5
2024-11-04,-0.07111114925808382,0.07177026943011683,76800,0.0,0.0,0.0,0.0,0.0,4.179999828338623
2024-11-05,0.06220101424864777,0.07117116681728922,43300,0.0,0.0,0.0,0.0,0.0,4.440000057220459
2024-11-06,0.004504500150622537,0.07623311050284082,61400,0.0,0.0,0.0,0.0,0.0,4.460000038146973
2024-11-07,0.00672639746964121,0.0554565891252236,33200,0.0,0.0,0.0,0.0,0.0,4.489999771118164
2024-11-08,-0.011135794308794189,0.0743243061831495,44000,0.0,0.0,0.0,0.0,0.0,4.440000057220459
2024-11-11,-0.02927930467692408,0.06264500800721341,90600,0.0,0.0,0.0,0.0,0.0,4.309999942779541
2024-11-12,-0.006960494981316456,0.1378504404783033,107000,0.0,0.0,0.0,0.0,0.0,4.28000020980835
2024-11-13,-0.0677570528167315,0.24060157249899658,206900,0.0,0.0,0.0,0.0,0.0,3.990000009536743
2024-11-14,-0.13533833598053646,0.18753618174654946,133000,0.0,0.0,0.0,0.0,0.0,3.450000047683716
2024-11-15,-0.20869565758227393,0.3146520005763966,318800,0.0,0.0,0.0,0.0,0.0,2.7300000190734863
2024-11-18,-0.02930400115279308,0.07924520459282337,93000,0.0,0.0,0.0,0.0,0.0,2.6500000953674316
