sample_id,time_step,target,returns,sentiment_mean,sentiment_vol,Close,Volume,Open,High,Low
126,3,0.8106834,0.3144256,0.34177786,0.010082017,0.802828,1.591154e-05,0.82736,0.7731835,0.9625468
126,4,0.8106834,0.3287938,0.3575398,0.018349912,0.811469,0.00031929158,0.8196,0.77303374,0.9625468
126,5,0.8106834,0.31006303,0.35530755,0.020841617,0.80675566,0.00032459543,0.8176,0.771161,0.9625468
126,6,0.8106834,0.32620898,0.36335737,0.02158586,0.81359,0.00017502694,0.82559997,0.77430713,0.96910113
127,0,0.8106834,0.30572134,0.3115172,0.075971805,0.80675566,0.00041688237,0.8296,0.7752809,0.9625468
127,1,0.8106834,0.31333065,0.3500473,0.022390336,0.8043991,0.00033308158,0.82872003,0.774457,0.9625468
127,2,0.8106834,0.3144256,0.34177786,0.010082017,0.802828,1.591154e-05,0.82736,0.7731835,0.9625468
127,3,0.8106834,0.3287938,0.3575398,0.018349912,0.811469,0.00031929158,0.8196,0.77303374,0.9625468
127,4,0.8106834,0.31006303,0.35530755,0.020841617,0.80675566,0.00032459543,0.8176,0.771161,0.9625468
127,5,0.8106834,0.32620898,0.36335737,0.02158586,0.81359,0.00017502694,0.82559997,0.77430713,0.96910113
127,6,0.8106834,0.3125909,0.35228837,0.018468222,0.8106834,5.3038466e-06,0.82559997,0.7715356,0.9719101
128,0,0.811469,0.31333065,0.3500473,0.022390336,0.8043991,0.00033308158,0.82872003,0.774457,0.9625468
128,1,0.811469,0.3144256,0.34177786,0.010082017,0.802828,1.591154e-05,0.82736,0.7731835,0.9625468
128,2,0.811469,0.3287938,0.3575398,0.018349912,0.811469,0.00031929158,0.8196,0.77303374,0.9625468
128,3,0.811469,0.31006303,0.35530755,0.020841617,0.80675566,0.00032459543,0.8176,0.771161,0.9625468
128,4,0.811469,0.32620898,0.36335737,0.02158586,0.81359,0.00017502694,0.82559997,0.77430713,0.96910113
128,5,0.811469,0.3125909,0.35228837,0.018468222,0.8106834,5.3038466e-06,0.82559997,0.7715356,0.9719101
128,6,0.811469,0.31663275,0.35677645,0.014872993,0.8106834,0.00017927002,0.82559997,0.7715356,0.9588015
129,0,0.8043991,0.3144256,0.34177786,0.010082017,0.802828,1.591154e-05,0.82736,0.7731835,0.9625468
129,1,0.8043991,0.3287938,0.3575398,0.018349912,0.811469,0.00031929158,0.8196,0.77303374,0.9625468
129,2,0.8043991,0.31006303,0.35530755,0.020841617,0.80675566,0.00032459543,0.8176,0.771161,0.9625468
129,3,0.8043991,0.32620898,0.36335737,0.02158586,0.81359,0.00017502694,0.82559997,0.77430713,0.96910113
129,4,0.8043991,0.3125909,0.35228837,0.018468222,0.8106834,5.3038466e-06,0.82559997,0.7715356,0.9719101
129,5,0.8043991,0.31663275,0.35677645,0.014872993,0.8106834,0.00017927002,0.82559997,0.7715356,0.9588015
129,6,0.8043991,0.31772867,0.3509831,0.005754409,0.811469,7.2132316e-05,0.8228,0.7722846,0.9679775
130,0,0.8039278,0.3287938,0.3575398,0.018349912,0.811469,0.00031929158,0.8196,0.77303374,0.9625468
130,1,0.8039278,0.31006303,0.35530755,0.020841617,0.80675566,0.00032459543,0.8176,0.771161,0.9625468
130,2,0.8039278,0.32620898,0.36335737,0.02158586,0.81359,0.00017502694,0.82559997,0.77430713,0.96910113
130,3,0.8039278,0.3125909,0.35228837,0.018468222,0.8106834,5.3038466e-06,0.82559997,0.7715356,0.9719101
130,4,0.8039278,0.31663275,0.35677645,0.014872993,0.8106834,0.00017927002,0.82559997,0.7715356,0.9588015
130,5,0.8039278,0.31772867,0.3509831,0.005754409,0.811469,7.2132316e-05,0.8228,0.7722846,0.9679775
130,6,0.8039278,0.30677825,0.3470122,0.0128248185,0.8043991,0.00015169002,0.82559997,0.7715356,0.9625468
131,0,0.8138256,0.31006303,0.35530755,0.020841617,0.80675566,0.00032459543,0.8176,0.771161,0.9625468
131,1,0.8138256,0.32620898,0.36335737,0.02158586,0.81359,0.00017502694,0.82559997,0.77430713,0.96910113
131,2,0.8138256,0.3125909,0.35228837,0.018468222,0.8106834,5.3038466e-06,0.82559997,0.7715356,0.9719101
131,3,0.8138256,0.31663275,0.35677645,0.014872993,0.8106834,0.00017927002,0.82559997,0.7715356,0.9588015
131,4,0.8138256,0.31772867,0.3509831,0.005754409,0.811469,7.2132316e-05,0.8228,0.7722846,0.9679775
131,5,0.8138256,0.30677825,0.3470122,0.0128248185,0.8043991,0.00015169002,0.82559997,0.7715356,0.9625468
131,6,0.8138256,0.31597063,0.34655988,0.0125058,0.8039278,3.9248465e-05,0.8176,0.77303374,0.9625468
132,0,0.8185389,0.32620898,0.36335737,0.02158586,0.81359,0.00017502694,0.82559997,0.77430713,0.96910113
132,1,0.8185389,0.3125909,0.35228837,0.018468222,0.8106834,5.3038466e-06,0.82559997,0.7715356,0.9719101
132,2,0.8185389,0.31663275,0.35677645,0.014872993,0.8106834,0.00017927002,0.82559997,0.7715356,0.9588015
