symbol,period,year,net_income,eps,roe,pe,pbr,revenue,operating_income,gross_profit,profit_margin,total_assets,total_liabilities,debt_to_equity,current_ratio,market_cap,dividend_yield,beta,forward_pe,operating_cashflow,capex,free_cashflow
INTU,2024-04-30,2024,,13.39,,51.00149,9.671165,,,,,,,,,194678374400,0.62,1.26,30.720198,,,0
INTU,2024-01-31,2024,,13.39,,51.00149,9.671165,,,,,,,,,194678374400,0.62,1.26,30.720198,,,0
SHOP,2025-06-30,2025,906000000.0,1.9,,78.21579,15.926481,2680000000.0,371000000.0,1302000000.0,0.33805970149253733,14561000000.0,,,3.8503368623676613,182140977152,,2.7,80.32973,,,0
SHOP,2025-03-31,2025,-682000000.0,1.9,,78.21579,15.926481,2360000000.0,278000000.0,1169000000.0,-0.2889830508474576,13400000000.0,,,3.705823792931807,182140977152,,2.7,80.32973,,,0
SHOP,2024-12-31,2024,1293000000.0,1.9,,78.21579,15.926481,2812000000.0,541000000.0,1352000000.0,0.4598150782361309,13924000000.0,,,3.708588957055215,182140977152,,2.7,80.32973,,,0
SHOP,2024-09-30,2024,828000000.0,1.9,,78.21579,15.926481,2162000000.0,341000000.0,1118000000.0,0.3829787234042553,12329000000.0,,,7.1020629750271445,182140977152,,2.7,80.32973,,,0
SHOP,2024-06-30,2024,171000000.0,1.9,,78.21579,15.926481,2045000000.0,283000000.0,1045000000.0,0.08361858190709047,11346000000.0,,,7.324942791762013,182140977152,,2.7,80.32973,,,0
SHOP,2024-03-31,2024,,1.9,,78.21579,15.926481,,,,,,,,,182140977152,,2.7,80.32973,,,0
BKNG,2025-06-30,2025,895000000.0,143.62,,37.59414,-26.29647,6798000000.0,2250000000.0,,0.13165636952044718,30684000000.0,,,1.2482828933247478,179810041856,0.71,1.392,25.729187,,,0
BKNG,2025-03-31,2025,333000000.0,143.62,,37.59414,-26.29647,4762000000.0,1062000000.0,,0.06992860142797144,27191000000.0,,,1.2169086251067465,179810041856,0.71,1.392,25.729187,,,0
BKNG,2024-12-31,2024,1068000000.0,143.62,,37.59414,-26.29647,5471000000.0,1729000000.0,,0.19521111314202158,27708000000.0,,,1.3095801112034255,179810041856,0.71,1.392,25.729187,,,0
BKNG,2024-09-30,2024,2517000000.0,143.62,,37.59414,-26.29647,7994000000.0,3179000000.0,,0.31486114585939456,27978000000.0,,,1.2309029859695406,179810041856,0.71,1.392,25.729187,,,0
BKNG,2024-06-30,2024,1521000000.0,143.62,,37.59414,-26.29647,5859000000.0,1856000000.0,,0.25960061443932414,28541000000.0,,,1.1695594858837746,179810041856,0.71,1.392,25.729187,,,0
PDD,2025-06-30,2025,30753457000.0,9.42,,14.030786,0.51023203,103984832000.0,25792899000.0,58125899000.0,0.29574945122765595,567156296000.0,,,2.357083874834445,187634663424,,0.448,9.380411,,,0
PDD,2025-03-31,2025,14741829000.0,9.42,,14.030786,0.51023203,95672175000.0,16085563000.0,54725075000.0,0.15408690144234727,530513245000.0,,,2.2726794859293515,187634663424,,0.448,9.380411,,,0
PDD,2024-12-31,2024,27446637000.0,9.42,,14.030786,0.51023203,110610106000.0,25592215000.0,62811730000.0,0.24813860136794372,505034316000.0,,,2.20593322615702,187634663424,,0.448,9.380411,,,0
PDD,2024-09-30,2024,24980694000.0,9.42,,14.030786,0.51023203,99354401000.0,24292458000.0,59645187000.0,0.2514301706675279,466793869000.0,,,2.1490994551562386,187634663424,,0.448,9.380411,,,0
