Date,DOWJONES,NASDAQ,DXY,S&P500,VIX,US10Y
2020-12-02,29883.78906,12349.37012,91.12000275,3669.01001,21.17000008,0.948000014
2020-12-03,29969.51953,12377.17969,90.70999908,3666.719971,21.28000069,0.920000017
2020-12-04,30218.25977,12464.23047,90.69999695,3699.120117,20.79000092,0.968999982
2020-12-07,30069.78906,12519.9502,90.79000092,3691.959961,21.29999924,0.927999973
2020-12-08,30173.88086,12582.76953,90.97000122,3702.25,20.68000031,0.912999988
2020-12-09,30068.81055,12338.9502,91.08999634,3672.820068,22.27000046,0.940999985
2020-12-10,29999.25977,12405.80957,90.79000092,3668.100098,22.52000046,0.907999992
2020-12-11,30046.36914,12377.87012,90.98000336,3663.459961,23.30999947,0.893000007
2020-12-14,29861.55078,12440.04004,90.70999908,3647.48999,24.71999931,0.89200002
2020-12-15,30199.31055,12595.05957,90.47000122,3694.620117,22.88999939,0.922999978
2020-12-16,30154.53906,12658.19043,90.44999695,3701.169922,22.5,0.920000017
2020-12-17,30303.36914,12764.75,89.81999969,3722.47998,21.93000031,0.930000007
2020-12-18,30179.05078,12755.63965,90.01999664,3709.409912,21.56999969,0.948000014
2020-12-21,30216.44922,12742.51953,90.04000092,3694.919922,25.15999985,0.940999985
2020-12-22,30015.50977,12807.91992,90.65000153,3687.26001,24.22999954,0.917999983
2020-12-23,30129.83008,12771.11035,90.41000366,3690.01001,23.30999947,0.954999983
2020-12-24,30199.86914,12804.73047,90.33000183,3703.060059,21.53000069,0.927999973
2020-12-28,30403.9707,12899.41992,90.33999634,3735.360107,21.70000076,0.933000028
2020-12-29,30335.66992,12850.21973,90.01000214,3727.040039,23.07999992,0.935000002
2020-12-30,30409.56055,12870,89.62999725,3732.040039,22.77000046,0.925999999
2020-12-31,30606.48047,12888.28027,89.94000244,3756.070068,22.75,0.916999996
2021-01-04,30223.89063,12698.4502,89.87999725,3700.649902,26.96999931,0.916999996
2021-01-05,30391.59961,12818.95996,89.44000244,3726.860107,25.34000015,0.954999983
2021-01-06,30829.40039,12740.79004,89.52999878,3748.139893,25.06999969,1.042000055
